"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/12/01","13:42","0.333","0.24","-"
"2020/12/01","13:48","0.322","0.23","-"
"2020/12/01","13:54","0.31","0.23","-"
"2020/12/01","14:00","0.299","0.23","-"
"2020/12/01","14:06","0.288","0.22","-"
"2020/12/01","14:12","0.276","0.21","-"
"2020/12/01","14:18","0.265","0.2","-"
"2020/12/01","14:24","0.254","0.19","-"
"2020/12/01","14:30","0.242","0.18","-"
"2020/12/01","14:36","0.231","0.16","-"
"2020/12/01","14:42","0.219","0.16","-"
"2020/12/01","14:48","0.208","0.15","-"
"2020/12/01","14:54","0.197","0.14","-"
"2020/12/01","15:00","0.186","0.13","-"
"2020/12/01","15:06","0.174","0.12","-"
"2020/12/01","15:12","0.163","0.11","-"
"2020/12/01","15:18","0.152","0.09","-"
"2020/12/01","15:24","0.141","0.08","-"
"2020/12/01","15:30","0.131","0.06","-"
"2020/12/01","15:36","0.12","0.06","-"
"2020/12/01","15:42","0.109","0.05","-"
"2020/12/01","15:48","0.099","0.04","-"
"2020/12/01","15:54","0.089","0.03","-"
"2020/12/01","16:00","0.078","0.02","-"
"2020/12/01","16:06","0.068","0.02","-"
"2020/12/01","16:12","0.059","0.01","-"
"2020/12/01","16:18","0.049","0","-"
"2020/12/01","16:24","0.04","-0.01","-"
"2020/12/01","16:30","0.03","-0.02","-"
"2020/12/01","16:36","0.021","-0.04","-"
"2020/12/01","16:42","0.012","-0.04","-"
"2020/12/01","16:48","0.004","-0.06","-"
"2020/12/01","16:54","-0.005","-0.06","-"
"2020/12/01","17:00","-0.013","-0.07","-"
"2020/12/01","17:06","-0.021","-0.08","-"
"2020/12/01","17:12","-0.029","-0.1","-"
"2020/12/01","17:18","-0.036","-0.1","-"
"2020/12/01","17:24","-0.044","-0.11","-"
"2020/12/01","17:30","-0.051","-0.11","-"
"2020/12/01","17:36","-0.058","-0.12","-"
"2020/12/01","17:42","-0.064","-0.13","-"
"2020/12/01","17:48","-0.071","-0.14","-"
"2020/12/01","17:54","-0.077","-0.14","-"
"2020/12/01","18:00","-0.083","-0.14","-"
"2020/12/01","18:06","-0.088","-0.14","-"
"2020/12/01","18:12","-0.093","-0.14","-"
"2020/12/01","18:18","-0.099","-0.14","-"
"2020/12/01","18:24","-0.103","-0.15","-"
"2020/12/01","18:30","-0.108","-0.16","-"
"2020/12/01","18:36","-0.112","-0.17","-"
"2020/12/01","18:42","-0.116","-0.16","-"
"2020/12/01","18:48","-0.12","-0.18","-"
"2020/12/01","18:54","-0.123","-0.18","-"
"2020/12/01","19:00","-0.127","-0.18","-"
"2020/12/01","19:06","-0.129","-0.19","-"
"2020/12/01","19:12","-0.132","-0.2","-"
"2020/12/01","19:18","-0.134","-0.22","-"
