Date,Time (GMT),Highest,MHHW (m),MHW (m),MSL (m),MTL (m),MLW (m),MLLW (m),Lowest (m),Inf
01-01-00,00:00,0.624,0.39,0.379,0.178,0.171,-0.038,-0.111,-0.422,0
01-02-00,00:00,0.657,0.379,0.345,0.197,0.169,-0.008,-0.064,-0.277,0
01-03-00,00:00,0.737,0.489,0.468,0.296,0.292,0.116,0.047,-0.1,0
01-04-00,00:00,0.653,0.471,0.445,0.279,0.285,0.124,0.03,-0.187,0
01-05-00,00:00,0.726,0.553,0.519,0.335,0.326,0.132,0.073,-0.141,0
01-06-00,00:00,0.609,0.495,0.479,0.281,0.259,0.038,0.005,-0.228,0
01-07-00,00:00,0.622,0.422,0.404,0.209,0.179,-0.045,-0.095,-0.263,0
01-08-00,00:00,0.586,0.425,0.401,0.248,0.224,0.048,-0.019,-0.226,0
01-09-00,00:00,0.694,0.531,0.486,0.34,0.33,0.174,0.116,-0.118,0
01-10-00,00:00,0.729,0.631,0.612,0.431,0.431,0.25,0.172,-0.001,0
01-11-00,00:00,0.843,0.574,0.531,0.357,0.336,0.141,0.077,-0.298,0
01-12-00,00:00,0.715,0.387,0.351,0.169,0.132,-0.087,-0.131,-0.308,0
01-01-01,00:00,0.559,0.279,0.259,0.08,0.076,-0.107,-0.174,-0.492,0
01-02-01,00:00,0.519,0.331,0.328,0.14,0.141,-0.046,-0.104,-0.429,0
01-03-01,00:00,0.669,0.388,0.354,0.188,0.18,0.006,-0.065,-0.472,0
01-04-01,00:00,0.744,0.539,0.499,0.328,0.315,0.13,0.072,-0.097,0
01-05-01,00:00,0.8,0.531,0.504,0.311,0.309,0.113,0.052,-0.24,0
01-06-01,00:00,0.734,0.429,0.404,0.214,0.189,-0.027,-0.07,-0.335,0
01-07-01,00:00,0.585,0.418,0.394,0.212,0.189,-0.015,-0.082,-0.309,0
01-08-01,00:00,0.622,0.478,0.466,0.273,0.272,0.077,-0.014,-0.272,0
01-09-01,00:00,0.753,0.548,0.503,0.361,0.335,0.167,0.102,-0.057,0
01-10-01,00:00,0.9,0.672,0.626,0.471,0.463,0.299,0.227,0.006,0
01-11-01,00:00,0.892,0.635,0.613,0.411,0.39,0.167,0.125,-0.167,0
01-12-01,00:00,0.816,0.525,0.499,0.285,0.256,0.014,-0.028,-0.255,0
01-01-02,00:00,0.617,0.366,0.339,0.152,0.113,-0.113,-0.155,-0.448,0
01-02-02,00:00,0.634,0.392,0.369,0.197,0.173,-0.023,-0.075,-0.368,0
01-03-02,00:00,0.88,0.497,0.462,0.294,0.293,0.123,0.025,-0.187,0
01-04-02,00:00,0.7,0.551,0.521,0.331,0.333,0.144,0.057,-0.175,0
01-05-02,00:00,0.79,0.614,0.565,0.368,0.353,0.14,0.061,-0.231,0
01-06-02,00:00,0.78,0.626,0.604,0.403,0.383,0.161,0.119,-0.066,0
01-07-02,00:00,0.817,0.474,0.45,0.274,0.249,0.048,0.009,-0.21,0
01-08-02,00:00,0.778,0.556,0.55,0.365,0.363,0.175,0.102,-0.139,0
01-09-02,00:00,1.158,0.84,0.828,0.622,0.636,0.443,0.348,0.133,0
01-10-02,00:00,0.906,0.739,0.691,0.519,0.503,0.314,0.249,0.11,0
01-11-02,00:00,0.968,0.55,0.546,0.327,0.345,0.143,0.046,-0.352,0
01-12-02,00:00,0.653,0.439,0.414,0.2,0.183,-0.048,-0.114,-0.44,0
01-01-03,00:00,0.555,0.374,0.347,0.135,0.102,-0.144,-0.188,-0.578,0
01-02-03,00:00,0.621,0.446,0.424,0.229,0.211,-0.003,-0.061,-0.337,0
01-03-03,00:00,0.704,0.515,0.496,0.303,0.31,0.123,0.024,-0.329,0
01-04-03,00:00,0.658,0.46,0.439,0.256,0.245,0.051,0.004,-0.225,0
01-05-03,00:00,0.682,0.53,0.493,0.295,0.277,0.06,0.005,-0.359,0
01-06-03,00:00,0.733,0.502,0.488,0.254,0.226,-0.036,-0.063,-0.344,0
01-07-03,00:00,1.333,0.552,0.532,0.32,0.309,0.086,0.013,-0.226,0
01-08-03,00:00,0.958,0.515,0.5,0.302,0.307,0.114,0.023,-0.302,0
01-09-03,00:00,1.008,0.744,0.705,0.527,0.511,0.317,0.252,-0.006,0
01-10-03,00:00,1.101,0.785,0.731,0.548,0.526,0.321,0.25,-0.061,0
01-11-03,00:00,0.895,0.689,0.655,0.458,0.426,0.198,0.158,-0.246,0
01-12-03,00:00,0.721,0.482,0.448,0.256,0.217,-0.015,-0.047,-0.424,0
01-01-04,00:00,0.751,0.516,0.49,0.297,0.259,0.028,-0.008,-0.464,0
01-02-04,00:00,0.848,0.497,0.47,0.273,0.261,0.051,-0.044,-0.455,0
01-03-04,00:00,0.754,0.531,0.489,0.316,0.292,0.094,0.037,-0.118,0
01-04-04,00:00,0.733,0.507,0.456,0.277,0.258,0.06,0.001,-0.27,0
01-05-04,00:00,0.772,0.618,0.585,0.387,0.376,0.167,0.104,-0.231,0
01-06-04,00:00,0.744,0.553,0.529,0.312,0.285,0.041,-0.001,-0.277,0
01-07-04,00:00,0.656,0.464,0.446,0.23,0.195,-0.056,-0.092,-0.313,0
01-08-04,00:00,0.625,0.494,0.462,0.28,0.264,0.065,-0.018,-0.225,0
01-09-04,00:00,1.154,0.69,0.662,0.489,0.473,0.283,0.219,-0.034,0
01-10-04,00:00,0.931,0.68,0.655,0.454,0.442,0.229,0.171,-0.137,0
01-11-04,00:00,1.058,0.658,0.632,0.412,0.39,0.147,0.104,-0.193,0
01-12-04,00:00,0.657,0.512,0.492,0.259,0.231,-0.031,-0.057,-0.535,0
01-01-05,00:00,0.706,0.547,0.53,0.327,0.308,0.085,0.036,-0.271,0
01-02-05,00:00,0.895,0.632,0.607,0.413,0.404,0.2,0.123,-0.152,0
01-03-05,00:00,0.704,0.504,0.457,0.279,0.261,0.064,-0.015,-0.173,0
01-04-05,00:00,0.754,0.509,0.47,0.266,0.249,0.028,-0.022,-0.317,0
01-05-05,00:00,0.733,0.592,0.568,0.345,0.346,0.123,0.052,-0.3,0
01-06-05,00:00,0.819,0.647,0.623,0.414,0.388,0.153,0.112,-0.139,0
01-07-05,00:00,1.294,0.596,0.582,0.372,0.346,0.109,0.059,-0.212,0
01-08-05,00:00,0.905,0.522,0.482,0.301,0.276,0.07,0.002,-0.216,0
01-09-05,00:00,1.499,0.734,0.689,0.513,0.488,0.287,0.226,0.012,0
01-10-05,00:00,1.074,0.727,0.682,0.511,0.498,0.313,0.243,0.013,0
01-11-05,00:00,0.772,0.534,0.516,0.291,0.274,0.032,-0.014,-0.22,0
01-12-05,00:00,0.811,0.485,0.48,0.222,0.193,-0.094,-0.119,-0.443,0
01-01-06,00:00,0.558,0.316,0.298,0.084,0.038,-0.222,-0.254,-0.436,0
01-02-06,00:00,0.657,0.379,0.369,0.17,0.169,-0.031,-0.108,-0.388,0
01-03-06,00:00,0.685,0.513,0.47,0.294,0.287,0.103,0.011,-0.206,0
01-04-06,00:00,0.705,0.511,0.481,0.278,0.261,0.041,-0.019,-0.177,0
01-05-06,00:00,0.678,0.534,0.514,0.285,0.258,0.001,-0.035,-0.26,0
01-06-06,00:00,0.631,0.496,0.479,0.26,0.237,-0.005,-0.043,-0.297,0
01-07-06,00:00,0.641,0.459,0.428,0.24,0.223,0.018,-0.046,-0.251,0
01-08-06,00:00,0.632,0.476,0.448,0.269,0.248,0.047,-0.024,-0.182,0
01-09-06,00:00,0.692,0.594,0.561,0.372,0.363,0.165,0.072,-0.075,0
01-10-06,00:00,1.033,0.704,0.678,0.469,0.46,0.241,0.167,-0.217,0
01-11-06,00:00,0.962,0.57,0.516,0.341,0.314,0.113,0.037,-0.331,0
01-12-06,00:00,0.94,0.524,0.488,0.281,0.24,-0.007,-0.058,-0.31,0
01-01-07,00:00,0.761,0.523,0.495,0.28,0.255,0.014,-0.052,-0.331,0
01-02-07,00:00,0.728,0.421,0.373,0.199,0.163,-0.048,-0.104,-0.379,0
01-03-07,00:00,0.673,0.495,0.461,0.288,0.279,0.097,0.025,-0.109,0
