date,time,water_level,water_temp,wind_speed,wind_dir,wind_gust,air_temp
04-07-20,20:00,0.342,31,7.64,119,8.69,-
04-07-20,21:00,0.355,31.3,6.86,135,8.92,-
04-07-20,22:00,0.36,31.6,6.9,134,8.67,-
04-07-20,23:00,0.338,31.7,5.77,163,8.03,-
05-07-20,00:00,0.301,32,6.04,186,8.36,-
05-07-20,01:00,0.273,31.8,6.12,176,7.95,-
05-07-20,02:00,0.235,31.5,6.42,186,9.61,-
05-07-20,03:00,0.207,31.4,5.74,178,8.34,-
05-07-20,04:00,0.176,31.3,5.43,172,7.87,-
05-07-20,05:00,0.138,31,5.35,192,7.13,-
05-07-20,06:00,0.1,30.8,6.16,200,8,-
05-07-20,07:00,0.066,30.6,7.03,224,10.24,-
05-07-20,08:00,0.045,30.4,5.19,221,7.16,-
05-07-20,09:00,0.027,30.1,4.44,225,6.02,-
05-07-20,10:00,0.02,29.9,4.21,222,6.57,-
05-07-20,11:00,0.039,29.7,4.2,225,5.7,-
05-07-20,12:00,0.077,29.5,3.12,183,6.09,-
05-07-20,13:00,0.109,29.3,4.51,222,7.25,-
05-07-20,14:00,0.14,29.2,4.78,237,9.5,-
05-07-20,15:00,0.165,29.1,6.8,222,9.21,-
05-07-20,16:00,0.205,29.4,5.91,226,7.64,-
05-07-20,17:00,0.236,29.6,5.43,191,7.58,-
05-07-20,18:00,0.267,29.8,3.88,209,6.95,-
05-07-20,19:00,0.296,30.1,5.69,185,6.14,-
05-07-20,20:00,0.32,30.4,3.9,170,9.48,-
05-07-20,21:00,0.333,30.8,4.78,158,7.6,-
05-07-20,22:00,0.332,30.9,7.71,177,9.34,-
05-07-20,23:00,0.334,31.5,7.55,180,9.14,-
06-07-20,00:00,0.317,31.6,7.53,179,9.22,-
06-07-20,01:00,0.298,31.5,6.57,182,7.7,-
06-07-20,02:00,0.264,31.4,6.7,183,8.67,-
06-07-20,03:00,0.238,31.2,7.84,186,9.34,-
06-07-20,04:00,0.197,31,7.69,185,11.12,-
06-07-20,05:00,0.163,30.7,6.58,199,10.36,-
06-07-20,06:00,0.139,30.6,6.99,193,9.58,-
06-07-20,07:00,0.105,30.4,8.08,195,9.43,-
06-07-20,08:00,0.078,30.2,5.37,205,8.94,-
06-07-20,09:00,0.058,29.9,6.82,221,8.48,-
06-07-20,10:00,0.044,29.8,4.51,218,6.69,-
06-07-20,11:00,0.031,29.7,4.62,184,6.52,-
06-07-20,12:00,0.054,29.6,4.79,168,7,-
06-07-20,13:00,0.094,29.4,6.5,178,7.64,-
06-07-20,14:00,0.119,29.2,6.49,204,10.32,-
06-07-20,15:00,0.153,29.2,8.18,217,10.54,-
06-07-20,16:00,0.185,29.3,7.12,206,12.12,-
06-07-20,17:00,0.229,29.7,5.15,177,8.17,-
06-07-20,18:00,0.263,30.2,6.23,170,9.32,-
06-07-20,19:00,0.295,30.6,6.22,177,9.35,-
06-07-20,20:00,0.328,30.8,8.11,170,10.69,-
06-07-20,21:00,0.344,31.1,8.52,173,11.88,-
06-07-20,22:00,0.365,31.3,7.91,176,11.14,-
06-07-20,23:00,0.374,31.3,7.81,177,10.43,-
07-07-20,00:00,0.354,31.2,7.08,170,8.73,-
07-07-20,01:00,0.343,31.1,9.13,168,11.08,-
07-07-20,02:00,0.315,30.9,8.27,180,10.55,-
07-07-20,03:00,0.291,30.7,8.35,179,9.74,-
07-07-20,04:00,0.26,30.5,7.83,182,10.66,-
07-07-20,05:00,0.227,30.4,8.33,178,10.38,-
07-07-20,06:00,0.192,30.2,6.96,183,8.67,-
07-07-20,07:00,0.149,30.1,6.4,180,8.4,-
